events	Hit Or Out?	bb_type	hc_x	hc_y	hit_distance_sc	launch_speed	launch_angle	pitch_name	if_fielding_alignment	of_fielding_alignment	adj_hc_x	adj_hc_y	spray_angle
field_out	0	popup	107.51	167.59	97	70.1	66	4-Seam Fastball	Standard	Standard	-17.91	30.68	-22.70625913
home_run	1	fly_ball	232.29	71.93	407	108.5	24	4-Seam Fastball	Infield shift	Strategic	106.87	126.34	30.17071162
single	1	ground_ball	107.64	175.06	1	72.2	-49	Knuckle Curve	Standard	Strategic	-17.78	23.21	-28.09041623
field_out	0	popup	121.21	206.45	13	77	81	4-Seam Fastball	Strategic	Standard	-4.21	-8.18	20.42513852
field_out	0	fly_ball	156.13	112.08	231	89.2	54	Cutter	Infield shift	Standard	30.71	86.19	14.70846007
single	1	line_drive	86.83	124.97	249	88	18	4-Seam Fastball	Strategic	Standard	-38.59	73.3	-20.82397915
double	1	line_drive	196.73	124.89	253	101.4	13	4-Seam Fastball	Infield shift	Standard	71.31	73.38	33.13526761
home_run	1	fly_ball	231.03	79.78	390	103.3	38	4-Seam Fastball	Infield shift	Standard	105.61	118.49	31.28293618
field_out	0	fly_ball	196.8	87.83				4-Seam Fastball	Infield shift	Standard	71.38	110.44	24.65666081
field_out	0	ground_ball	151.65	167.32	64	69.6	5	4-Seam Fastball	Infield shift	Strategic	26.23	30.95	30.21085602
field_out	0	line_drive	111	147	192	106.3	9	Sinker	Standard	Standard	-14.42	51.27	-11.78172109
home_run	1	fly_ball	212.4	83.61	356	96.2	33	Changeup	Infield shift	Strategic	86.98	114.66	27.88770956
field_out	0	ground_ball	165.63	153.98	6	98.8	-11	Split-Finger	Infield shift	Standard	40.21	44.29	31.67675707
home_run	1	line_drive	223.84	63.19	411	108.6	22	4-Seam Fastball	Infield shift	Standard	98.42	135.08	27.05795865
field_out	0	line_drive	158.02	161.44	127	72.2	13	4-Seam Fastball	Infield shift	Standard	32.6	36.83	31.13518709
field_out	0	ground_ball	163.13	138.82	114	110.3	6	Sinker	Infield shift	Standard	37.71	59.45	24.29066302
field_out	0	line_drive	171.29	81.54	311	89.5	21	Sinker	Infield shift	Standard	45.87	116.73	16.0895607
home_run	1	line_drive	231.93	83.28	340	101.2	25	Knuckle Curve	Infield shift	Standard	106.51	114.99	32.10565111
single	1	line_drive	164.96	112.77	256	92.6	17	Curveball	Infield shift	Standard	39.54	85.5	18.61385336
field_out	0	ground_ball	169.84	126.5	118	103.4	6	4-Seam Fastball	Infield shift	Standard	44.42	71.77	23.81569347
triple	1	fly_ball	182.33	56.54	377	102.5	37	Knuckle Curve	Infield shift	Standard	56.91	141.73	16.40800664
field_out	0	line_drive	170.43	128.3	155	108.4	10	Sinker	Infield shift	Standard	45.01	69.97	24.56414364
field_out	0	ground_ball	159.75	141.98	49	98.7	1	Curveball	Infield shift	Standard	34.33	56.29	23.5335541
force_out	0	ground_ball	149.14	163.18	20	105.4	-5	Sinker	Infield shift	Standard	23.72	35.09	25.54331399
double	1	line_drive	193.68	122.58	236	71.9	27	Changeup	Infield shift	Standard	68.26	75.69	31.53396909
field_out	0	line_drive	83.58	153.91	156	96.6	11	4-Seam Fastball	Standard	Standard	-41.84	44.36	-32.49410453
field_out	0	line_drive	161.33	156.81	140	95.3	8	4-Seam Fastball	Standard	Standard	35.91	41.46	30.67276242
home_run	1	fly_ball	43.1	50.1	420	106.4	29	Cutter	Standard	Standard	-82.32	148.17	-21.79169179
field_out	0	fly_ball	90.12	76.54	316	98.6	44	Slider	Standard	Standard	-35.3	121.73	-12.1285657
single	1	line_drive	193.2	108.64	193	88.5	12	Curveball	Infield shift	Standard	67.78	89.63	27.82297584
single	1	line_drive	187.33	117.61	226	72.2	22	Changeup	Infield shift	Standard	61.91	80.66	28.13083568
field_out	0	ground_ball	100.19	158.58	8	81.7	-14	4-Seam Fastball	Standard	Standard	-25.23	39.69	-24.33237082
home_run	1	fly_ball	202.76	59.82	392	104.5	33	4-Seam Fastball	Strategic	Standard	77.34	138.45	21.89122709
field_error	N/A	ground_ball	167.28	159.83	9	96.4	-7	4-Seam Fastball	Standard	Standard	41.86	38.44	35.57907734
field_out	0	line_drive	58.4	91.63	313	110.6	17	4-Seam Fastball	Standard	Standard	-67.02	106.64	-24.11108523
field_out	0	fly_ball	61.98	88.55	315	85.6	29	Slider	Standard	Standard	-63.44	109.72	-22.52734527
field_out	0	popup	121.31	217.76	36	72.8	86	Slider	Standard	Standard	-4.11	-19.49	8.930937843
field_out	0	ground_ball	138.72	187.93	48	105.3	1	4-Seam Fastball	Infield shift	Standard	13.3	10.34	39.102711
field_out	0	ground_ball	110.53	185.54	2	71.6	-56	Sinker	Standard	Strategic	-14.89	12.73	-37.10375199
field_out	0	fly_ball	56.94	83.54	331	89.6	35	4-Seam Fastball	Infield shift	Standard	-68.48	114.73	-23.12408754
field_out	0	ground_ball	98.61	145.01	18	91.6	-7	Changeup	Infield shift	Standard	-26.81	53.26	-20.03981496
field_out	0	ground_ball	162.75	150.89	7	84.8	-24	4-Seam Fastball	Infield shift	Standard	37.33	47.38	28.67553846
single	1	ground_ball	155.89	162.73	121	84.3	9	Changeup	Infield shift	Standard	30.47	35.54	30.45594919
home_run	1	fly_ball	218.82	89.11	355	107.9	39	Sinker	Infield shift	Standard	93.4	109.16	30.41333673
home_run	1	line_drive	210.04	62.59	367	108.2	20	Slider	Infield shift	Standard	84.62	135.68	23.96301799
single	1	line_drive	158.54	114.71	166	105.7	9	Sinker	Infield shift	Standard	33.12	83.56	16.21611584
double	1	ground_ball	49.64	124.45	64	94.1	2	Slider	Standard	Standard	-75.78	73.82	-34.31296776
field_out	0	ground_ball	106.27	150.36	14	88.2	-5	Slider	Infield shift	Standard	-19.15	47.91	-16.34023103
single	1	line_drive	64.37	103.7	201	110.4	10	4-Seam Fastball	Infield shift	Standard	-61.05	94.57	-24.63330654
field_out	0	ground_ball	160.71	143.49	113	82.2	8	Slider	Infield shift	Standard	35.29	54.78	24.59262713
single	1	ground_ball	90.74	164.91	15	86.8	-12	4-Seam Fastball	Infield shift	Standard	-34.68	33.36	-34.58356418
field_out	0	popup	106.15	130.56	181	65.4	48	4-Seam Fastball	Infield shift	Standard	-19.27	67.71	-11.91460864
