,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team
28,29,May 4,True,MIA,"L,3-9",40,36,3,9,1,0,1,2,3,0,12,0,1,0,1,1,0,0,0.241,0.323,0.424,0.747,10,18,R,S.Alcantara(59),ARI
29,30,May 5,True,MIA,"L,0-8",35,32,0,5,1,0,0,0,3,0,11,0,0,0,0,0,0,0,0.239,0.321,0.416,0.737,8,15,L,R.Detwiler(59),ARI
30,31,May 6,True,MIA,"L,1-3",38,33,1,5,2,0,0,1,3,0,8,2,0,0,2,1,0,0,0.236,0.319,0.41,0.729,10,14,R,P.Lopez(63),ARI
31,32,May 7,True,NYM,"L,4-5",46,39,4,10,0,0,0,4,5,0,8,1,1,0,1,0,1,0,0.237,0.32,0.405,0.725,12,15,L,D.Peterson(37),ARI
32,33,May 8,True,NYM,"L,2-4",40,34,2,8,0,0,0,2,2,0,7,1,1,0,0,0,0,0,0.237,0.319,0.4,0.719,11,15,R,T.Hunter(57),ARI
33,34,May 9,True,NYM,"L,2-4",35,29,2,4,2,0,1,1,4,0,11,2,0,0,0,2,0,0,0.234,0.318,0.397,0.716,6,17,R,J.deGrom(64),ARI
34,35,May 10,False,MIA,"W,5-2",35,31,5,8,6,1,0,4,4,0,6,0,0,0,0,1,1,0,0.235,0.319,0.4,0.72,6,12,R,J.Holloway(35),ARI
35,36,May 11,False,MIA,"W,11-3",41,36,11,15,4,2,2,11,4,0,7,0,0,1,0,2,0,0,0.24,0.323,0.412,0.736,6,14,R,P.Lopez(25),ARI
36,37,May 12,False,MIA,"L,2-3",33,33,2,7,1,0,1,2,0,0,10,0,0,0,0,0,1,0,0.239,0.321,0.41,0.731,4,15,R,C.Poteet(57),ARI
37,38,May 13,False,MIA,"L,1-5",35,30,1,5,1,0,0,1,3,0,10,0,1,1,0,0,1,0,0.238,0.319,0.405,0.724,7,14,L,T.Rogers(65),ARI
38,39,May 14,False,WSN,"L,2-17",33,32,2,6,2,0,0,2,1,0,9,0,0,0,0,1,0,0,0.236,0.316,0.402,0.718,4,14,R,M.Scherzer(69),ARI
39,40,May 15,False,WSN,"W,11-4",40,36,11,12,1,0,3,10,3,1,11,1,0,0,0,0,0,0,0.239,0.319,0.407,0.726,5,15,R,J.Ross(16),ARI
40,41,May 16,False,WSN,"L,0-3",32,30,0,4,1,0,0,0,2,0,8,0,0,0,0,1,0,0,0.237,0.316,0.402,0.718,5,14,R,E.Fedde(73),ARI
41,42,May 17,True,LAD,"L,1-3",36,30,1,4,0,0,0,1,6,0,7,0,0,0,0,1,0,0,0.235,0.315,0.396,0.711,8,13,R,W.Buehler(78),ARI
42,43,May 18,True,LAD,"L,1-9",31,30,1,3,1,0,0,1,0,0,10,1,0,0,0,0,0,0,0.232,0.312,0.391,0.703,3,14,L,J.Urias(72),ARI
43,44,May 19,True,LAD,"L,2-4",32,29,2,2,1,0,1,2,2,0,11,1,0,0,0,0,0,1,0.229,0.309,0.387,0.696,3,14,L,C.Kershaw(67),ARI
44,45,May 20,True,LAD,"L,2-3",34,33,2,7,3,0,1,2,1,0,14,0,0,0,1,1,0,1,0.228,0.307,0.388,0.695,5,13,L,D.Price(51),ARI
45,46,May 21,True,COL,"L,1-7",37,32,1,7,2,0,0,1,4,0,9,0,0,1,0,1,0,0,0.228,0.307,0.385,0.692,9,15,R,G.Marquez(74),ARI
46,47,May 22,True,COL,"L,6-7",43,37,6,12,5,0,1,6,4,0,7,1,0,1,1,1,0,0,0.23,0.309,0.389,0.698,10,14,R,A.Senzatela(45),ARI
47,48,May 23,True,COL,"L,3-4",34,30,3,4,2,0,1,3,3,0,9,0,0,1,0,0,0,0,0.229,0.307,0.387,0.694,4,19,R,J.Gray(57),ARI
48,49,May 25,False,SFG,"L,0-8",38,36,0,9,4,0,0,0,2,0,15,0,0,0,0,0,0,0,0.229,0.307,0.387,0.693,11,14,R,K.Gausman(64),ARI
