,Game,Date,Home,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,NumPlayers,Thr,OppStart,team
2888,137,Sep 5,True,WSN,"W,13-6",46,39,13,16,3,0,4,13,4,0,8,1,0,2,0,1,2,0,0.239,0.315,0.389,0.705,6,17,R,J.Gray(22),NYM
2889,138,Sep 6,True,WSN,"L,3-4",38,36,3,12,1,0,1,2,2,0,6,0,0,0,0,2,0,1,0.24,0.316,0.39,0.705,8,15,L,P.Corbin(46),NYM
2890,139,Sep 7,True,MIA,"W,9-4",42,35,9,6,2,0,2,9,5,0,5,2,0,0,2,1,0,0,0.239,0.316,0.39,0.705,6,16,R,E.Cabrera(36),NYM
2891,140,Sep 8,True,MIA,"L,1-2",35,32,1,4,1,0,1,1,2,0,15,1,0,0,0,1,1,1,0.238,0.315,0.389,0.704,4,17,R,S.Alcantara(88),NYM
2892,141,Sep 9,True,MIA,"L,2-3",36,30,2,4,1,1,1,1,5,1,13,1,0,0,0,0,2,0,0.238,0.314,0.389,0.703,7,14,L,J.Luzardo(61),NYM
2893,142,Sep 10,False,NYY,"W,10-3",40,33,10,11,2,0,1,8,4,0,10,2,0,1,0,0,0,1,0.238,0.315,0.389,0.705,6,13,L,J.Montgomery(25),NYM
2894,143,Sep 11,False,NYY,"L,7-8",44,37,7,11,2,1,2,7,6,0,11,0,1,0,0,0,1,0,0.239,0.316,0.391,0.707,10,16,R,C.Kluber(40),NYM
2895,144,Sep 12,False,NYY,"W,7-6",40,32,7,9,1,0,3,7,5,0,5,1,1,1,2,1,1,0,0.239,0.317,0.392,0.709,9,16,R,C.Schmidt(34),NYM
2896,145,Sep 13,False,STL,"L,0-7",36,32,0,6,1,0,0,0,4,0,10,0,0,0,0,1,0,0,0.239,0.316,0.391,0.707,9,16,R,A.Wainwright(65),NYM
2897,146,Sep 14,False,STL,"L,6-7",44,35,6,6,1,0,1,5,8,1,4,0,0,1,2,3,0,1,0.238,0.316,0.39,0.706,5,20,R,J.Woodford(44),NYM
2898,147,Sep 15,False,STL,"L,4-11",41,41,4,13,1,1,2,3,0,0,8,0,0,0,1,0,0,0,0.239,0.316,0.391,0.708,10,18,L,J.Lester(57),NYM
2899,148,Sep 17,False,PHI,"L,3-4",38,34,3,8,3,0,0,3,2,0,10,2,0,0,0,1,0,0,0.239,0.316,0.391,0.707,8,19,R,Z.Wheeler(60),NYM
2900,149,Sep 18,False,PHI,"L,3-5",35,34,3,7,0,1,1,3,1,0,10,0,0,0,0,0,0,0,0.239,0.316,0.391,0.706,5,15,R,A.Nola(65),NYM
2901,150,Sep 19,False,PHI,"W,3-2",33,30,3,7,2,0,1,3,3,0,9,0,0,0,0,1,0,0,0.239,0.316,0.391,0.706,6,17,R,K.Gibson(56),NYM
2902,151,Sep 21,True,BOS,"L,3-6",37,34,3,8,1,0,1,3,3,0,10,0,0,0,0,0,1,0,0.239,0.315,0.39,0.706,7,11,L,E.Rodriguez(47),NYM
2903,152,Sep 22,True,BOS,"L,5-12",41,35,5,11,2,0,1,5,5,0,11,0,0,1,0,1,1,0,0.239,0.316,0.391,0.707,9,11,L,C.Sale(53),NYM
2904,153,Sep 24,True,MIL,"L,1-5",34,32,1,4,0,1,0,1,2,0,10,0,0,0,1,0,0,0,0.239,0.315,0.39,0.705,6,15,L,E.Lauer(71),NYM
2905,154,Sep 25,True,MIL,"L,1-2",34,32,1,6,1,0,0,1,2,0,11,0,0,0,0,0,0,1,0.238,0.315,0.388,0.703,6,14,R,C.Burnes(71),NYM
2906,155,Sep 26,True,MIL,"L,4-8",37,34,4,7,2,0,1,4,1,0,11,2,0,0,0,0,0,0,0.238,0.314,0.388,0.703,6,18,R,F.Peralta(46),NYM
2907,156,Sep 28 (1),False,MIA,"W,5-2",31,28,5,8,0,1,1,4,3,0,10,0,0,0,2,0,2,0,0.238,0.315,0.389,0.703,8,13,R,Z.Thompson(46),NYM
2908,157,Sep 28 (2),False,MIA,"W,2-1",32,28,2,5,2,0,0,2,3,2,8,0,1,0,0,1,0,0,0.238,0.314,0.388,0.702,5,17,L,T.Rogers(63),NYM
2909,158,Sep 29,False,MIA,"L,2-3",33,33,2,9,3,0,1,2,0,0,8,0,0,0,0,3,0,0,0.238,0.314,0.388,0.702,4,13,R,E.Hernandez(53),NYM
2910,159,Sep 30,False,MIA,"W,12-3",41,31,12,10,3,0,3,12,7,1,6,2,1,0,0,2,1,0,0.239,0.315,0.39,0.705,5,15,R,E.Cabrera(51),NYM
2911,160,Oct 1,True,ATL,"W,4-3",36,34,4,11,2,0,2,4,2,0,10,0,0,0,0,3,0,1,0.239,0.315,0.391,0.707,5,15,R,H.Ynoa(47),NYM
2912,161,Oct 2,True,ATL,"L,5-6",41,36,5,8,2,2,1,5,4,1,9,0,1,0,2,0,0,0,0.239,0.315,0.392,0.707,9,14,R,J.Chavez(56),NYM
2913,162,Oct 3,True,ATL,"L,0-5",29,28,0,3,0,0,0,0,1,0,6,0,0,0,0,2,1,0,0.238,0.314,0.39,0.705,2,13,R,C.Morton(59),NYM
2914,1,Apr 1,False,TOR,"L,2-3",41,35,2,6,0,0,1,2,6,0,13,0,0,0,0,1,2,0,0.171,0.293,0.257,0.55,9,13,L,H.Ryu(56),NYY
2915,2,Apr 3,False,TOR,"W,5-3",41,35,5,11,1,0,1,5,6,0,10,0,0,0,0,0,0,0,0.243,0.354,0.343,0.697,12,11,R,R.Stripling(37),NYY
2916,3,Apr 4,False,TOR,"L,1-3",33,31,1,5,2,0,0,1,2,0,6,0,0,0,0,1,0,0,0.218,0.313,0.307,0.62,5,9,R,T.Zeuch(56),NYY
2917,4,Apr 5,False,BAL,"W,7-0",38,31,7,7,0,0,2,7,7,0,10,0,0,0,0,0,0,0,0.22,0.327,0.333,0.66,7,11,R,J.Lopez(44),NYY
2918,5,Apr 6,False,BAL,"W,7-2",39,34,7,11,3,0,2,6,5,0,6,0,0,0,0,1,0,0,0.241,0.344,0.386,0.729,8,10,R,D.Kremer(38),NYY
2919,6,Apr 7,False,BAL,"L,3-4",46,43,3,13,2,0,0,3,2,0,10,0,1,0,0,1,0,0,0.254,0.342,0.378,0.72,10,12,L,J.Means(48),NYY
2920,7,Apr 9,True,TBR,"L,5-10",34,33,5,7,1,0,2,5,1,0,10,0,0,0,0,1,0,0,0.248,0.328,0.384,0.713,2,9,L,R.Hill(55),NYY
2921,8,Apr 10,True,TBR,"L,0-4",33,31,0,5,2,0,0,0,2,0,9,0,0,0,0,1,0,0,0.238,0.316,0.366,0.682,6,9,R,C.Archer(55),NYY
2922,9,Apr 11,True,TBR,"W,8-4",45,35,8,9,2,0,1,6,7,0,8,2,1,0,0,2,1,0,0.24,0.328,0.37,0.698,7,10,R,B.Honeywell(58),NYY
2923,10,Apr 12,True,TOR,"W,3-1",33,28,3,4,0,0,2,3,5,0,8,0,0,0,0,3,1,0,0.232,0.323,0.369,0.692,3,10,L,R.Ray(53),NYY
2924,11,Apr 13,True,TOR,"L,3-7",34,32,3,8,3,0,0,3,2,0,8,0,0,0,1,3,0,0,0.234,0.32,0.367,0.687,4,9,L,H.Ryu(70),NYY
2925,12,Apr 14,True,TOR,"L,4-5",34,31,4,6,1,0,2,4,3,0,4,0,0,0,0,1,0,0,0.231,0.316,0.371,0.687,3,9,R,T.Zeuch(38),NYY
2926,13,Apr 16,False,TBR,"L,2-8",31,29,2,3,0,0,1,2,2,0,14,0,0,0,0,1,0,0,0.222,0.306,0.36,0.666,2,10,R,M.Wacha(77),NYY
2927,14,Apr 17,False,TBR,"L,3-6",37,33,3,5,1,0,1,3,4,0,13,0,0,0,1,0,0,0,0.217,0.302,0.354,0.655,7,10,R,T.Glasnow(62),NYY
2928,15,Apr 18,False,TBR,"L,2-4",34,30,2,3,1,0,1,2,3,0,10,1,0,0,0,0,0,0,0.21,0.296,0.346,0.642,5,9,R,A.Kittredge(52),NYY
2929,16,Apr 20,False,ATL,"W,3-1",34,29,3,5,1,0,1,2,5,1,6,0,0,0,0,0,0,0,0.208,0.296,0.344,0.64,7,11,R,C.Morton(66),NYY
2930,17,Apr 21,False,ATL,"L,1-4",37,31,1,5,0,0,0,1,6,0,6,0,0,0,0,1,0,0,0.205,0.296,0.334,0.63,9,10,R,I.Anderson(66),NYY
2931,18,Apr 22,True,CLE,"W,6-3",46,37,6,11,1,0,1,5,9,0,10,0,0,0,0,0,0,0,0.211,0.305,0.338,0.644,13,10,R,A.Civale(52),NYY
2932,19,Apr 23,True,CLE,"W,5-3",36,32,5,6,0,0,4,5,4,0,7,0,0,0,0,0,0,0,0.21,0.304,0.35,0.654,4,10,L,L.Allen(31),NYY
2933,20,Apr 24,True,CLE,"W,2-1",36,32,2,5,1,0,2,2,4,0,13,0,0,0,0,0,0,0,0.207,0.301,0.351,0.653,7,10,R,S.Bieber(67),NYY
2934,21,Apr 25,True,CLE,"L,3-7",39,33,3,6,1,0,2,3,5,0,9,1,0,0,1,0,0,0,0.206,0.302,0.353,0.655,9,10,R,T.McKenzie(43),NYY
2935,22,Apr 26,True,BAL,"L,2-4",35,28,2,4,2,0,0,2,7,0,7,0,0,0,0,2,0,0,0.203,0.302,0.348,0.65,6,9,R,M.Harvey(64),NYY
2936,23,Apr 27,True,BAL,"W,5-1",39,35,5,12,2,0,3,5,3,0,7,0,0,1,0,1,0,1,0.21,0.306,0.362,0.668,7,10,L,B.Zimmermann(29),NYY
2937,24,Apr 28,True,BAL,"W,7-0",39,37,7,12,2,0,3,7,1,0,7,0,0,1,0,1,0,0,0.215,0.307,0.375,0.682,5,10,R,D.Kremer(23),NYY
2938,25,Apr 29,True,BAL,"L,3-4",44,36,3,8,1,0,0,3,7,1,10,1,0,0,0,2,0,0,0.216,0.31,0.369,0.679,11,12,R,J.Lopez(47),NYY
2939,26,Apr 30,False,DET,"W,10-0",43,38,10,15,2,0,5,10,5,0,5,0,0,0,0,1,0,0,0.224,0.317,0.39,0.707,9,12,L,T.Skubal(32),NYY
2940,27,May 1,False,DET,"W,6-4",39,32,6,8,1,0,0,6,6,0,5,1,0,0,1,0,1,0,0.224,0.319,0.386,0.705,9,10,R,S.Turnbull(39),NYY
2941,28,May 2,False,DET,"W,2-0",28,26,2,3,1,0,0,2,1,0,9,0,0,1,0,0,0,0,0.221,0.315,0.379,0.694,2,10,R,J.Urena(69),NYY
2942,29,May 4,False,HOU,"W,7-3",41,32,7,9,1,0,1,4,9,0,8,0,0,0,0,1,1,0,0.223,0.319,0.38,0.7,10,11,R,Z.Greinke(44),NYY
2943,30,May 5,False,HOU,"W,6-3",39,31,6,9,2,0,1,6,5,0,11,2,0,1,0,1,0,0,0.226,0.322,0.383,0.705,9,11,R,L.Garcia(54),NYY
2944,31,May 6,False,HOU,"L,4-7",38,34,4,9,1,0,2,4,4,0,11,0,0,0,0,2,0,0,0.227,0.323,0.386,0.709,7,11,R,L.McCullers(52),NYY
2945,32,May 7,False,WSN,"L,4-11",35,32,4,5,0,0,3,4,3,0,7,0,0,0,0,0,0,0,0.225,0.32,0.387,0.707,4,9,L,P.Corbin(54),NYY
2946,33,May 8,False,WSN,"W,4-3",40,36,4,6,0,0,1,4,4,0,17,0,0,0,0,0,0,0,0.223,0.318,0.383,0.701,6,11,R,M.Scherzer(83),NYY
2947,34,May 9,False,WSN,"W,3-2",38,28,3,5,1,0,1,3,10,1,10,0,0,0,0,2,1,0,0.222,0.32,0.381,0.701,10,11,R,J.Ross(55),NYY
2948,35,May 11,True,TBR,"W,3-1",36,32,3,7,2,0,2,2,2,0,6,2,0,0,0,2,0,0,0.222,0.32,0.384,0.703,6,10,R,L.Patino(52),NYY
2949,36,May 12,True,TBR,"W,1-0",32,30,1,6,1,0,0,1,1,0,10,0,0,1,0,1,0,1,0.221,0.317,0.38,0.697,4,10,R,C.McHugh(57),NYY
2950,37,May 13,True,TBR,"L,1-9",35,30,1,5,2,0,0,0,4,0,10,1,0,0,0,2,0,0,0.22,0.317,0.376,0.693,7,10,L,R.Hill(74),NYY
2951,38,May 14,True,BAL,"W,5-4",35,33,5,7,0,0,3,5,2,0,9,0,0,0,0,1,0,0,0.219,0.315,0.379,0.694,3,10,R,D.Kremer(53),NYY
2952,39,May 15,True,BAL,"W,8-2",42,38,8,13,0,0,1,6,3,0,11,1,0,0,0,1,0,1,0.223,0.318,0.38,0.698,7,10,R,J.Lopez(28),NYY
2953,40,May 16,True,BAL,"L,6-10",38,35,6,10,0,0,3,5,3,0,10,0,0,0,0,2,0,0,0.225,0.318,0.385,0.703,5,11,R,A.Plutko(28),NYY
2954,41,May 17,True,TEX,"L,2-5",33,32,2,7,0,1,1,2,1,0,7,0,0,0,0,2,0,0,0.225,0.317,0.384,0.701,4,9,R,J.Lyles(61),NYY
2955,42,May 18,True,TEX,"W,7-4",42,38,7,13,4,0,0,7,3,0,6,0,0,1,0,1,0,0,0.228,0.318,0.386,0.705,8,11,R,M.Foltynewicz(27),NYY
2956,43,May 19,True,TEX,"W,2-0",31,25,2,4,0,1,0,2,5,0,6,0,0,1,0,4,1,0,0.227,0.318,0.383,0.701,2,10,L,H.Yang(52),NYY
2957,44,May 20,True,TEX,"W,2-0",36,32,2,9,1,0,0,2,3,0,10,1,0,0,0,1,0,0,0.228,0.319,0.382,0.701,7,11,R,D.Dunning(69),NYY
2958,45,May 21,False,CHW,"W,2-1",32,32,2,8,0,0,1,2,0,0,15,0,0,0,1,0,1,0,0.228,0.318,0.381,0.699,6,10,L,C.Rodon(81),NYY
2959,46,May 22,False,CHW,"W,7-0",40,35,7,11,3,0,1,7,5,0,12,0,0,0,0,0,0,0,0.23,0.319,0.383,0.703,9,11,R,D.Cease(35),NYY
2960,47,May 23,False,CHW,"W,5-4",39,34,5,10,0,0,0,3,5,1,9,0,0,0,1,1,2,1,0.232,0.321,0.382,0.702,9,11,L,D.Keuchel(44),NYY
2961,48,May 25,False,TOR,"L,2-6",36,33,2,7,2,0,0,1,3,0,13,0,0,0,0,1,0,0,0.231,0.32,0.379,0.699,7,9,L,S.Matz(68),NYY
2962,49,May 27 (1),False,TOR,"L,0-2",25,23,0,2,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0.229,0.318,0.375,0.693,4,9,R,A.Manoah(73),NYY
2963,50,May 27 (2),False,TOR,"W,5-3",26,23,5,7,2,0,2,5,2,0,6,0,0,1,1,0,1,0,0.23,0.318,0.379,0.697,3,10,L,R.Ray(39),NYY
2964,51,May 28,True,DET,"L,2-3",43,41,2,11,1,0,1,1,2,0,12,0,0,0,0,0,0,0,0.231,0.318,0.379,0.697,11,12,R,C.Mize(60),NYY
2965,52,May 29,True,DET,"L,1-6",34,29,1,3,0,0,0,0,4,0,12,1,0,0,0,1,0,0,0.229,0.316,0.374,0.69,6,9,R,S.Turnbull(62),NYY
2966,53,May 30,True,DET,"L,2-6",39,34,2,9,1,0,0,2,5,0,12,0,0,0,0,1,0,0,0.23,0.317,0.372,0.69,10,9,L,T.Skubal(71),NYY
2967,54,May 31,False,TBR,"L,1-3",34,31,1,5,1,0,1,1,3,0,6,0,0,0,0,1,0,0,0.229,0.316,0.371,0.687,6,10,L,R.Hill(61),NYY
2968,55,Jun 1,False,TBR,"W,5-3",45,38,5,6,1,0,2,4,7,1,11,0,0,0,0,0,1,0,0.227,0.315,0.37,0.686,8,12,R,T.Glasnow(63),NYY
2969,56,Jun 2,False,TBR,"W,4-3",37,31,4,9,3,0,1,4,6,0,14,0,0,0,0,0,0,0,0.228,0.317,0.372,0.689,9,10,L,S.McClanahan(38),NYY
2970,57,Jun 3,False,TBR,"L,2-9",33,32,2,6,2,0,2,2,0,0,6,0,1,0,0,0,0,0,0.227,0.315,0.373,0.688,4,9,L,R.Yarbrough(73),NYY
2971,58,Jun 4,False,BOS,"L,2-5",35,34,2,8,0,0,1,1,1,0,15,0,0,0,1,2,0,0,0.228,0.314,0.372,0.686,6,9,R,N.Eovaldi(57),NYY
2972,59,Jun 5,False,BOS,"L,3-7",35,31,3,6,1,0,1,3,3,0,11,0,0,1,0,1,0,0,0.227,0.313,0.372,0.685,5,12,L,E.Rodriguez(52),NYY
2973,60,Jun 6,False,BOS,"L,5-6",46,38,5,11,2,0,0,5,7,1,11,1,0,0,0,3,1,0,0.228,0.315,0.371,0.686,11,12,R,G.Richards(43),NYY
2974,61,Jun 8,True,MIN,"W,8-4",46,42,8,14,2,0,2,7,2,0,5,0,1,1,2,1,0,0,0.23,0.316,0.374,0.69,11,11,R,M.Pineda(47),NYY
2975,62,Jun 9,True,MIN,"W,9-6",44,40,9,15,5,0,4,9,3,0,4,0,0,1,1,1,0,0,0.233,0.318,0.383,0.7,8,12,R,R.Dobnak(7),NYY
2976,63,Jun 10,True,MIN,"L,5-7",40,38,5,12,0,1,2,5,2,0,5,0,0,0,0,1,0,0,0.235,0.318,0.385,0.704,8,11,L,J.Happ(36),NYY
2977,64,Jun 12,True,PHI,"L,7-8",42,38,7,10,1,1,3,7,4,0,11,0,0,0,0,2,0,0,0.235,0.319,0.389,0.707,5,20,R,V.Velasquez(51),NYY
2978,65,Jun 13,True,PHI,"L,0-7",31,30,0,4,2,0,0,0,1,0,11,0,0,0,0,1,0,0,0.234,0.317,0.386,0.703,4,14,R,A.Nola(81),NYY
2979,66,Jun 15,True,TOR,"W,6-5",42,36,6,9,3,0,3,5,6,0,7,0,0,0,1,1,1,0,0.234,0.317,0.389,0.707,9,11,L,H.Ryu(49),NYY
2980,67,Jun 16,True,TOR,"W,3-2",36,32,3,4,0,0,1,3,3,0,12,0,0,1,2,0,0,0,0.233,0.315,0.387,0.702,6,11,R,R.Stripling(65),NYY
2981,68,Jun 17,True,TOR,"W,8-4",46,38,8,11,1,0,2,7,6,0,8,0,1,1,1,0,0,0,0.234,0.317,0.388,0.705,11,11,R,T.Zeuch(39),NYY
2982,69,Jun 18,False,OAK,"L,3-5",32,30,3,4,0,0,2,3,2,0,9,0,0,0,0,1,0,0,0.232,0.315,0.388,0.703,2,11,R,J.Kaprielian(57),NYY
2983,70,Jun 19,False,OAK,"W,7-5",38,32,7,11,2,0,2,7,5,0,7,0,1,0,0,1,0,0,0.234,0.317,0.39,0.707,7,11,R,C.Bassitt(57),NYY
2984,71,Jun 20,False,OAK,"W,2-1",29,27,2,3,3,0,0,2,2,0,15,0,0,0,0,0,0,0,0.232,0.315,0.389,0.704,3,10,L,S.Manaea(63),NYY
2985,72,Jun 22,False,KCR,"L,5-6",45,36,5,9,1,1,3,4,8,1,10,1,0,0,0,0,0,0,0.233,0.316,0.391,0.708,13,13,R,B.Singer(43),NYY
2986,73,Jun 23,False,KCR,"W,6-5",41,30,6,7,1,0,2,6,11,0,10,0,0,0,0,2,0,0,0.233,0.318,0.392,0.711,10,11,L,D.Duffy(57),NYY
2987,74,Jun 24,False,KCR,"W,8-1",42,36,8,13,2,0,3,8,5,0,7,1,0,0,0,1,1,0,0.235,0.32,0.396,0.717,10,9,R,B.Keller(32),NYY
2988,75,Jun 25,True,BOS,"L,3-5",37,34,3,9,1,0,0,3,3,0,10,0,0,0,0,2,0,0,0.235,0.32,0.395,0.715,7,11,L,M.Perez(44),NYY
2989,76,Jun 26,True,BOS,"L,2-4",38,34,2,9,0,0,1,2,4,0,7,0,0,0,0,2,0,0,0.235,0.321,0.394,0.715,9,11,R,N.Eovaldi(67),NYY
2990,77,Jun 27,True,BOS,"L,2-9",36,33,2,7,0,0,1,2,3,0,13,0,0,0,0,1,0,0,0.235,0.32,0.393,0.713,7,10,L,E.Rodriguez(62),NYY
2991,78,Jun 28,False,LAA,"L,3-5",33,32,3,6,1,0,2,3,1,0,9,0,0,0,0,1,0,0,0.234,0.319,0.393,0.712,3,10,R,D.Bundy(39),NYY
2992,79,Jun 29,False,LAA,"W,11-5",43,33,11,11,3,0,3,11,9,0,8,0,0,1,0,1,1,0,0.236,0.321,0.397,0.718,8,9,L,A.Heaney(21),NYY
2993,80,Jun 30,False,LAA,"L,8-11",42,32,8,9,1,0,1,8,9,0,7,1,0,0,0,4,0,0,0.236,0.323,0.397,0.72,7,10,R,S.Ohtani(17),NYY
2994,81,Jul 3,False,NYM,"L,3-8",35,31,3,3,0,0,1,3,3,0,10,1,0,0,1,0,0,0,0.235,0.321,0.395,0.717,5,9,R,T.Walker(60),NYY
2995,82,Jul 4 (1),False,NYM,"L,5-10",29,26,5,7,1,0,0,3,1,0,3,1,0,1,0,1,0,0,0.235,0.321,0.394,0.716,3,10,R,M.Stroman(38),NYY
2996,83,Jul 4 (2),False,NYM,"W,4-2",24,21,4,4,1,0,1,3,3,0,7,0,0,0,0,0,0,1,0.235,0.321,0.394,0.715,2,10,R,C.Oswalt(45),NYY
2997,84,Jul 6,True,SEA,"W,12-1",51,45,12,18,2,0,2,11,5,0,8,1,0,0,0,0,1,0,0.237,0.324,0.397,0.721,12,9,L,J.Sheffield(20),NYY
2998,85,Jul 7,True,SEA,"W,5-4",40,37,5,10,4,0,1,5,3,0,8,0,0,0,0,0,0,0,0.238,0.324,0.398,0.721,8,9,L,Y.Kikuchi(33),NYY
2999,86,Jul 8,True,SEA,"L,0-4",29,27,0,1,1,0,0,0,0,0,10,2,0,0,0,1,0,0,0.236,0.322,0.395,0.716,2,10,R,L.Gilbert(83),NYY
3000,87,Jul 9,True,HOU,"W,4-0",39,38,4,12,4,0,0,4,1,0,6,0,0,0,1,2,1,0,0.237,0.322,0.395,0.717,8,9,R,J.Odorizzi(54),NYY
3001,88,Jul 10,True,HOU,"W,1-0",35,32,1,6,1,0,1,1,3,0,9,0,0,0,0,1,0,0,0.236,0.321,0.394,0.715,7,9,R,Z.Greinke(54),NYY
3002,89,Jul 11,True,HOU,"L,7-8",48,34,7,8,0,0,2,6,14,0,12,0,0,0,1,1,1,0,0.236,0.323,0.394,0.717,14,9,L,F.Valdez(39),NYY
3003,90,Jul 16,False,BOS,"L,0-4",33,30,0,3,1,0,0,0,3,0,11,0,0,0,1,1,0,0,0.235,0.322,0.392,0.713,6,11,L,E.Rodriguez(71),NYY
3004,91,Jul 17,False,BOS,"W,3-1",27,23,3,5,1,0,2,3,2,0,9,2,0,0,0,0,0,0,0.235,0.322,0.393,0.715,6,10,R,N.Eovaldi(65),NYY
3005,92,Jul 18,False,BOS,"W,9-1",38,30,9,8,0,0,3,9,7,0,8,0,0,1,0,1,2,0,0.235,0.323,0.395,0.717,5,10,L,M.Perez(44),NYY
3006,93,Jul 20,False,PHI,"W,6-4",37,33,6,10,2,1,4,5,4,0,6,0,0,0,0,1,1,0,0.236,0.323,0.399,0.722,7,9,R,A.Nola(42),NYY
3007,94,Jul 21,False,PHI,"W,6-5",42,36,6,9,1,0,2,6,4,0,10,1,1,0,1,1,3,0,0.236,0.323,0.399,0.723,8,11,R,S.Howard(58),NYY
3008,95,Jul 22,True,BOS,"L,4-5",39,30,4,4,0,0,0,4,6,0,14,0,1,2,0,0,2,0,0.235,0.323,0.397,0.719,5,9,R,T.Houck(64),NYY
3009,96,Jul 23,True,BOS,"L,2-6",40,32,2,6,2,0,0,2,5,0,12,3,0,0,0,0,0,1,0.235,0.323,0.395,0.718,11,11,L,E.Rodriguez(45),NYY
3010,97,Jul 24,True,BOS,"W,4-3",37,35,4,10,4,0,0,4,1,0,8,1,0,0,0,1,3,0,0.235,0.323,0.395,0.718,6,12,R,N.Eovaldi(65),NYY
3011,98,Jul 25,True,BOS,"L,4-5",39,32,4,9,2,1,1,4,5,0,7,1,1,0,0,2,2,1,0.236,0.324,0.396,0.72,8,10,L,M.Perez(52),NYY
3012,99,Jul 27,True,TBR,"W,4-3",42,34,4,10,4,0,1,4,7,0,10,1,0,0,0,3,1,0,0.236,0.325,0.397,0.722,11,9,L,S.McClanahan(45),NYY
3013,100,Jul 28,True,TBR,"W,3-1",38,35,3,7,2,0,0,2,1,0,13,1,0,1,1,0,1,0,0.236,0.324,0.396,0.72,5,12,R,M.Wacha(67),NYY
3014,101,Jul 29,True,TBR,"L,0-14",33,30,0,4,0,0,0,0,3,0,10,0,0,0,0,1,0,0,0.235,0.323,0.394,0.717,6,11,R,L.Patino(72),NYY
3015,102,Jul 30,True,MIA,"W,3-1",38,31,3,7,0,0,1,3,5,0,9,2,0,0,0,2,0,1,0.235,0.324,0.393,0.716,8,16,R,Z.Thompson(60),NYY
3016,103,Jul 31,True,MIA,"W,4-2",41,33,4,7,2,0,1,3,6,1,10,1,1,0,0,0,0,0,0.235,0.324,0.393,0.716,10,16,L,T.Rogers(44),NYY
3017,104,Aug 1,True,MIA,"W,3-1",35,34,3,6,1,0,0,2,1,0,13,0,0,0,2,0,1,0,0.234,0.323,0.391,0.713,5,16,R,S.Alcantara(82),NYY
3018,105,Aug 2,False,BAL,"L,1-7",37,28,1,3,1,0,0,1,7,0,5,1,0,1,0,1,0,0,0.233,0.322,0.389,0.711,9,9,R,J.Lopez(65),NYY
3019,106,Aug 3,False,BAL,"W,13-1",40,38,13,15,5,0,2,12,0,0,5,1,0,1,0,0,0,0,0.235,0.323,0.392,0.715,3,10,L,A.Wells(21),NYY
3020,107,Aug 4,False,BAL,"W,10-3",40,35,10,12,4,0,1,10,5,0,4,0,0,0,0,1,0,0,0.236,0.324,0.393,0.718,6,11,R,M.Harvey(47),NYY
3021,108,Aug 5,False,SEA,"W,5-3",37,33,5,10,2,0,1,5,3,0,7,0,0,1,0,0,0,0,0.236,0.324,0.394,0.719,8,10,L,T.Anderson(51),NYY
3022,109,Aug 6,False,SEA,"W,3-2",45,36,3,6,1,0,0,3,7,2,8,1,0,1,0,1,2,0,0.236,0.324,0.392,0.716,10,11,L,M.Gonzales(71),NYY
3023,110,Aug 7,False,SEA,"W,5-4",37,35,5,11,2,0,2,4,1,0,9,1,0,0,1,2,0,0,0.236,0.325,0.394,0.718,8,11,R,C.Flexen(45),NYY
3024,111,Aug 8,False,SEA,"L,0-2",38,33,0,6,1,0,0,0,3,0,12,2,0,0,0,0,1,0,0.236,0.324,0.392,0.716,11,11,L,Y.Kikuchi(62),NYY
3025,112,Aug 9,True,KCR,"W,8-6",47,40,8,11,2,1,1,8,5,0,7,0,0,1,0,2,1,0,0.236,0.325,0.393,0.717,6,10,R,C.Hernandez(62),NYY
3026,113,Aug 10,True,KCR,"L,4-8",38,32,4,5,1,0,1,3,6,0,14,0,0,0,0,0,0,0,0.236,0.324,0.392,0.716,7,9,L,D.Lynch(46),NYY
3027,114,Aug 11,True,KCR,"W,5-2",39,35,5,12,3,0,0,5,4,0,7,0,0,0,0,2,2,1,0.237,0.325,0.392,0.717,7,10,R,B.Singer(20),NYY
3028,115,Aug 12,True,CHW,"L,8-9",42,36,8,8,0,0,4,8,6,0,14,0,0,0,1,0,1,0,0.237,0.325,0.393,0.719,7,10,R,L.Lynn(48),NYY
3029,116,Aug 14,True,CHW,"W,7-5",43,38,7,10,3,1,3,7,3,1,13,1,0,1,0,1,1,0,0.237,0.325,0.396,0.721,6,11,R,D.Cease(53),NYY
3030,117,Aug 15,True,CHW,"W,5-3",46,38,5,9,2,0,2,4,8,1,16,0,0,0,1,0,1,0,0.237,0.326,0.396,0.722,14,11,R,L.Giolito(45),NYY
3031,118,Aug 16,False,LAA,"W,2-1",31,26,2,5,0,0,1,2,5,0,9,0,0,0,0,2,0,1,0.237,0.326,0.396,0.721,5,11,L,J.Suarez(54),NYY
3032,119,Aug 17 (1),False,BOS,"W,5-3",33,26,5,8,0,0,0,5,6,0,8,1,0,0,0,0,0,0,0.237,0.326,0.395,0.722,10,11,R,T.Houck(46),NYY
3033,120,Aug 17 (2),False,BOS,"W,2-0",27,26,2,8,1,0,2,2,1,0,7,0,0,0,0,0,2,0,0.238,0.327,0.396,0.723,7,11,R,N.Eovaldi(50),NYY
